Series,EP,err,onpeak 02,err,offpeak 02,err,bgc 02,err,onpeak 06,err,offpeak 06,err,bgc 06,err,onpeak 16,err,offpeak 16,err,bgc 16,err,EPG/EP,err
253,2450860,1565.52,3,1.73,22,4.69,1.53,2.11,139,11.79,725,26.93,90.67,13.69,143,11.96,1026,32.03,74.60,14.54,,
270,236667,486.48,8,2.83,32,5.66,5.87,3.18,16,4.00,76,8.72,10.93,4.59,15,3.87,98,9.90,8.47,4.64,,
289,1201890,1096.31,55,7.42,168,12.96,43.80,8.14,55,7.42,403,20.07,28.13,9.05,65,8.06,469,21.66,33.73,9.81,,
290,489823,699.87,23,4.80,62,7.87,18.87,5.21,30,5.48,148,12.17,20.13,6.31,30,5.48,213,14.59,15.80,6.65,,
291,340012,583.11,19,4.36,27,5.20,17.20,4.56,21,4.58,101,10.05,14.27,5.27,13,3.61,127,11.27,4.53,4.63,,
292,1511100,1229.27,56,7.48,208,14.42,42.13,8.36,88,9.38,448,21.17,58.13,10.86,81,9.00,616,24.82,39.93,11.05,,
304,678526,823.73,28,5.29,83,9.11,22.47,5.79,33,5.74,199,14.11,19.73,6.80,48,6.93,268,16.37,30.13,8.12,,
305,600672,775.03,26,5.10,56,7.48,22.27,5.45,31,5.57,168,12.96,19.80,6.50,28,5.29,234,15.30,12.40,6.60,,
311,104710,323.59,10,3.16,32,5.66,7.87,3.48,9,3.00,51,7.14,5.60,3.52,15,3.87,73,8.54,10.13,4.46,,
313,1162340,1078.12,62,7.87,255,15.97,45.00,8.89,82,9.06,494,22.23,49.07,10.72,86,9.27,757,27.51,35.53,11.68,,
317,504108,710.01,20,4.47,109,10.44,12.73,5.22,28,5.29,236,15.36,12.27,6.61,39,6.24,304,17.44,18.73,7.70,,
sum,9280708,3046.43,310,17.61,1054,32.47,239.73,19.50,532,23.07,3049,55.22,328.73,27.12,563,23.73,4185,64.69,284.00,29.02,9.19E-005,9.39E-006
