Bin Center (us),n/ep,err
8.24,0.00199324,7.1464e-06
8.28,0.00198971,7.14006e-06
8.32,0.0019409,7.05193e-06
8.36,0.00193224,7.03618e-06
8.4,0.00188463,6.94897e-06
8.44,0.00186892,6.91995e-06
8.48,0.00184625,6.87784e-06
8.52,0.00181294,6.81552e-06
8.56,0.00179951,6.79023e-06
8.6,0.00176669,6.72802e-06
8.64,0.00175432,6.70442e-06
8.68,0.00171834,6.63532e-06
8.72,0.00170692,6.61322e-06
8.76,0.00168514,6.5709e-06
8.8,0.00164937,6.50079e-06
8.84,0.00163172,6.4659e-06
8.88,0.00161939,6.44144e-06
8.92,0.0016024,6.40757e-06
8.96,0.00156533,6.33301e-06
9,0.00155657,6.31525e-06
9.04,0.0015281,6.25724e-06
9.08,0.00149261,6.18416e-06
9.12,0.00149254,6.184e-06
9.16,0.00146194,6.1203e-06
9.2,0.00144083,6.07594e-06
9.24,0.001426,6.04458e-06
9.28,0.00140358,5.99688e-06
9.32,0.00139576,5.98016e-06
9.36,0.0013695,5.92363e-06
9.4,0.0013642,5.91215e-06
9.44,0.00132084,5.81745e-06
9.48,0.0013191,5.81361e-06
9.52,0.00130483,5.78208e-06
9.56,0.00128746,5.74346e-06
9.6,0.00127616,5.7182e-06
9.64,0.00124336,5.64424e-06
9.68,0.00124152,5.64006e-06
9.72,0.00121723,5.58461e-06
9.76,0.00120055,5.54622e-06
9.8,0.0011884,5.51809e-06
9.84,0.00115727,5.44534e-06
9.88,0.00115169,5.43218e-06
9.92,0.00114871,5.42517e-06
9.96,0.00111925,5.35513e-06
