Bin Center (us),n/ep,err
8.24,0.00199605,7.01471e-06
8.28,0.00199019,7.0044e-06
8.32,0.00194261,6.92016e-06
8.36,0.00193188,6.90104e-06
8.4,0.0018882,6.82257e-06
8.44,0.00187072,6.79092e-06
8.48,0.00184812,6.74977e-06
8.52,0.00181518,6.68935e-06
8.56,0.00180345,6.6677e-06
8.6,0.00177064,6.60676e-06
8.64,0.00175476,6.57708e-06
8.68,0.00172266,6.51665e-06
8.72,0.001708,6.48885e-06
8.76,0.00168746,6.44972e-06
8.8,0.00165228,6.38214e-06
8.84,0.00163707,6.3527e-06
8.88,0.00162132,6.32206e-06
8.92,0.00160222,6.2847e-06
8.96,0.00157027,6.22172e-06
9,0.00155752,6.19642e-06
9.04,0.00153013,6.1417e-06
9.08,0.00149607,6.07294e-06
9.12,0.00149698,6.07479e-06
9.16,0.00146496,6.00947e-06
9.2,0.00144156,5.96129e-06
9.24,0.00142943,5.93616e-06
9.28,0.00140665,5.88867e-06
9.32,0.00139807,5.87069e-06
9.36,0.00137172,5.8151e-06
9.4,0.00136761,5.80636e-06
9.44,0.00132459,5.71432e-06
9.48,0.00132077,5.70607e-06
9.52,0.00130748,5.67729e-06
9.56,0.00128902,5.63706e-06
9.6,0.0012794,5.616e-06
9.64,0.00124726,5.545e-06
9.68,0.00124435,5.53853e-06
9.72,0.0012194,5.48273e-06
9.76,0.00120222,5.44396e-06
9.8,0.00119088,5.41823e-06
9.84,0.00116206,5.35227e-06
9.88,0.00115713,5.3409e-06
9.92,0.00115166,5.32826e-06
9.96,0.00112264,5.26071e-06
