Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
248.5,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,0,0,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,0,0,-6.55751e-07,6.55751e-07,5.90176e-06,4.683e-06,0,0,1.21787e-05,8.26183e-06
249.5,1.96725e-06,3.40738e-06,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,2.623e-06,3.34369e-06,0,0,0,0,3.27875e-06,3.27875e-06,0,0,7.16391e-06,6.4076e-06
250.5,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,0,0,3.27875e-06,3.27875e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,2.64385e-06,3.37026e-06,9.31309e-06,6.28631e-06
251.5,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,0,0,6.55751e-06,4.63686e-06,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,1.2895e-05,7.2352e-06
252.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,0,0,2.86557e-06,3.65289e-06
253.5,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-1.3115e-06,9.27371e-07,3.30481e-06,3.30481e-06,4.29835e-06,5.26438e-06
254.5,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,3.27875e-06,3.27875e-06,0,0,3.30481e-06,3.30481e-06,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,1.2895e-05,7.2352e-06
255.5,9.83626e-06,5.67897e-06,3.27875e-06,3.27875e-06,0,0,2.623e-06,3.34369e-06,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,1.86262e-05,8.89018e-06
256.5,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,0,0,0,0,0,0,0,0,0,0,-1.43278e-06,1.01313e-06
257.5,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,3.30481e-06,3.30481e-06,2.623e-06,3.34369e-06,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,-6.55751e-07,6.55751e-07,3.30481e-06,3.30481e-06,1.2895e-05,8.23071e-06
258.5,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,0,0,1.98289e-06,3.43446e-06,4.29835e-06,5.26438e-06
259.5,3.27875e-06,3.27875e-06,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,2.14917e-06,3.72248e-06
260.5,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,2.14917e-06,3.72248e-06
261.5,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,0,0,0,0,-1.3115e-06,9.27371e-07,3.30481e-06,3.30481e-06,0,0,3.27875e-06,3.27875e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,2.86557e-06,5.36098e-06
262.5,-1.3115e-06,9.27371e-07,0,0,0,0,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,-6.60963e-07,6.60963e-07,0,0,0,0,2.623e-06,3.34369e-06,0,0,0,0,0,0,-1.43278e-06,4.05252e-06
263.5,0,0,-6.55751e-07,6.55751e-07,0,0,2.623e-06,3.34369e-06,0,0,0,0,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,8.5967e-06,6.327e-06
264.5,0,0,-6.55751e-07,6.55751e-07,0,0,2.623e-06,3.34369e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,7.16391e-07,3.85789e-06
265.5,-6.55751e-07,6.55751e-07,-1.96725e-06,1.13579e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,2.623e-06,3.34369e-06,-1.3115e-06,9.27371e-07,-1.3115e-06,9.27371e-07,0,0,-3.58196e-06,4.23823e-06
266.5,0,0,2.623e-06,3.34369e-06,0,0,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,-6.60963e-07,6.60963e-07,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,-6.55751e-07,6.55751e-07,0,0,7.16391e-07,5.50271e-06
267.5,0,0,0,0,0,0,2.623e-06,3.34369e-06,2.623e-06,3.34369e-06,-1.32193e-06,9.34742e-07,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,7.16391e-06,6.4076e-06
268.5,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,5.90176e-06,4.683e-06,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,0,0,1.21787e-05,7.27058e-06
269.5,0,0,0,0,0,0,1.96725e-06,3.40738e-06,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,-1.32193e-06,9.34742e-07,9.31309e-06,7.41041e-06
270.5,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,-2.14917e-06,4.11536e-06
271.5,0,0,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,6.55751e-06,4.63686e-06,0,0,4.29835e-06,5.26438e-06
272.5,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,3.27875e-06,-6.60963e-07,6.60963e-07,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,1.43278e-06,3.79079e-06
273.5,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,-1.96725e-06,1.13579e-06,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,3.30481e-06,3.30481e-06,1.79098e-05,8.919e-06
274.5,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,2.64385e-06,3.37026e-06,3.27875e-06,3.27875e-06,-1.3115e-06,9.27371e-07,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,3.30481e-06,3.30481e-06,1.07459e-05,7.34083e-06
275.5,-1.3115e-06,9.27371e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27875e-06,3.27875e-06,0,0,2.14917e-06,3.72248e-06
276.5,0,0,0,0,0,0,0,0,2.623e-06,3.34369e-06,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,2.14917e-06,3.72248e-06
277.5,0,0,-6.55751e-07,6.55751e-07,0,0,1.96725e-06,3.40738e-06,-6.55751e-07,6.55751e-07,0,0,-1.96725e-06,1.13579e-06,0,0,0,0,0,0,0,0,0,0,-1.43278e-06,4.05252e-06
278.5,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,2.623e-06,3.34369e-06,0,0,-6.55751e-07,6.55751e-07,0,0,-6.60963e-07,6.60963e-07,3.58196e-06,5.3129e-06
279.5,0,0,0,0,0,0,-1.3115e-06,9.27371e-07,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,2.86557e-06,5.36098e-06
280.5,0,0,0,0,0,0,1.96725e-06,3.40738e-06,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,6.82121e-14,3.92384e-06
281.5,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,2.64385e-06,3.37026e-06,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,4.29835e-06,5.26438e-06
282.5,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,2.64385e-06,3.37026e-06,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,3.58196e-06,5.3129e-06
283.5,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-1.3115e-06,9.27371e-07,0,0,0,0,0,0,2.623e-06,3.34369e-06,2.623e-06,3.34369e-06,0,0,0,0,3.58196e-06,5.3129e-06
284.5,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-1.43278e-06,1.01313e-06
285.5,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,0,0,3.30481e-06,3.30481e-06,7.88031e-06,6.36743e-06
286.5,3.27875e-06,3.27875e-06,0,0,0,0,0,0,3.27875e-06,3.27875e-06,-1.32193e-06,9.34742e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,5.01474e-06,5.21541e-06
287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,3.27875e-06,0,0,2.86557e-06,3.65289e-06
288.5,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,0,0,-3.58196e-06,1.6019e-06
289.5,0,0,-6.55751e-07,6.55751e-07,0,0,3.27875e-06,3.27875e-06,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,0,0,2.14917e-06,3.72248e-06
290.5,0,0,-1.96725e-06,1.13579e-06,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,-6.60963e-07,6.60963e-07,-5.01474e-06,1.89539e-06
291.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,-7.16391e-07,7.16391e-07
292.5,-6.55751e-07,6.55751e-07,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,6.60963e-06,4.67371e-06,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,0,0,0,0,5.01474e-06,5.21541e-06
293.5,2.623e-06,3.34369e-06,0,0,0,0,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,0,0,7.16391e-07,3.85789e-06
294.5,0,0,-6.55751e-07,6.55751e-07,0,0,6.55751e-06,4.63686e-06,-1.3115e-06,9.27371e-07,0,0,0,0,3.27875e-06,3.27875e-06,-6.55751e-07,6.55751e-07,0,0,2.623e-06,3.34369e-06,0,0,1.07459e-05,7.34083e-06
295.5,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,0,0,0,0,0,0,0,0,0,0,-6.60963e-07,6.60963e-07,-1.43278e-06,1.01313e-06
296.5,0,0,0,0,0,0,0,0,-6.55751e-07,6.55751e-07,-6.60963e-07,6.60963e-07,0,0,-6.55751e-07,6.55751e-07,3.27875e-06,3.27875e-06,0,0,3.27875e-06,3.27875e-06,0,0,5.01474e-06,5.21541e-06
