Bin Center (us),n/ep,err
8.2,0.00179519,9.0708e-06
8.24,0.00176765,9.00094e-06
8.28,0.00176591,8.9965e-06
8.32,0.00173405,8.91499e-06
8.36,0.00170829,8.84853e-06
8.4,0.00167804,8.76984e-06
8.44,0.00165421,8.70734e-06
8.48,0.00163996,8.66974e-06
8.52,0.00161182,8.59503e-06
8.56,0.00159761,8.55707e-06
8.6,0.00157235,8.48916e-06
8.64,0.00155627,8.44562e-06
8.68,0.00153596,8.39035e-06
8.72,0.00151708,8.33861e-06
8.76,0.00149595,8.28034e-06
8.8,0.00146634,8.19799e-06
8.84,0.00145653,8.17053e-06
8.88,0.00144654,8.14245e-06
8.92,0.00144489,8.13781e-06
8.96,0.00140199,8.01609e-06
9,0.00140401,8.02185e-06
9.04,0.00137151,7.92848e-06
9.08,0.00135217,7.87237e-06
9.12,0.00134429,7.84939e-06
9.16,0.00131527,7.76423e-06
9.2,0.00130432,7.73183e-06
9.24,0.00128351,7.6699e-06
9.28,0.00126316,7.60886e-06
9.32,0.00125276,7.57746e-06
9.36,0.0012386,7.5345e-06
9.4,0.00124419,7.55149e-06
9.44,0.00120486,7.4312e-06
9.48,0.00118877,7.38142e-06
9.52,0.00118575,7.37202e-06
9.56,0.0011753,7.33946e-06
9.6,0.00116132,7.29568e-06
9.64,0.00113414,7.20981e-06
9.68,0.00113964,7.22727e-06
9.72,0.00110925,7.13026e-06
9.76,0.00110165,7.10577e-06
9.8,0.00108322,7.0461e-06
9.84,0.00106305,6.9802e-06
9.88,0.00106397,6.98321e-06
9.92,0.00105618,6.95759e-06
9.96,0.00103633,6.89191e-06
10,0.00102575,6.85662e-06
10.04,0.00101392,6.81698e-06
10.08,0.00100237,6.77804e-06
10.12,0.000986147,6.72296e-06
10.16,0.000969417,6.66569e-06
10.2,0.000967584,6.65939e-06
10.24,0.000957638,6.62507e-06
10.28,0.000943476,6.5759e-06
10.32,0.000933943,6.54259e-06
10.36,0.000927709,6.52072e-06
10.4,0.000917213,6.48373e-06
10.44,0.000900805,6.42548e-06
10.48,0.000897184,6.41255e-06
10.52,0.000881418,6.35596e-06
10.56,0.000875964,6.33626e-06
10.6,0.000882976,6.36157e-06
10.64,0.000846539,6.22893e-06
10.68,0.000852726,6.25165e-06
10.72,0.000835493,6.18816e-06
10.76,0.000818993,6.12675e-06
10.8,0.000818718,6.12572e-06
10.84,0.000799605,6.0538e-06
