Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
22.5,1.18509e-06,2.49995e-07,1.27792e-06,2.43387e-07,0,0,1.40209e-06,2.42064e-07,1.34518e-06,2.69334e-07,7.99568e-07,2.41017e-07,1.45266e-06,2.71469e-07,1.42279e-06,2.48395e-07,1.61939e-06,2.91159e-07,1.37105e-06,2.73525e-07,1.27275e-06,2.75913e-07,1.20197e-06,2.25988e-07,1.5667e-05,9.35164e-07
23.5,1.18509e-06,2.52093e-07,1.44348e-06,2.48179e-07,0,0,9.62321e-07,2.17298e-07,1.20031e-06,2.58585e-07,1.06609e-06,2.49863e-07,1.35804e-06,2.56628e-07,1.49005e-06,2.47693e-07,1.48487e-06,2.83992e-07,1.39174e-06,2.83426e-07,1.80047e-06,2.88156e-07,1.37442e-06,2.36441e-07,1.61219e-05,9.32697e-07
24.5,9.30296e-07,2.28956e-07,1.28827e-06,2.36583e-07,0,0,9.10583e-07,2.14196e-07,1.18997e-06,2.4432e-07,7.42083e-07,2.31244e-07,9.0165e-07,2.39262e-07,1.49004e-06,2.41122e-07,1.22618e-06,2.56767e-07,1.02441e-06,2.57236e-07,1.26757e-06,2.51607e-07,1.74024e-06,2.47723e-07,1.39167e-05,8.74223e-07
25.5,1.15546e-06,2.30636e-07,9.15757e-07,2.00579e-07,0,0,9.83016e-07,2.11429e-07,8.12281e-07,2.20902e-07,1.21242e-06,2.54841e-07,1.09645e-06,2.35017e-07,9.62321e-07,2.09777e-07,1.03993e-06,2.53937e-07,1.34001e-06,2.7087e-07,1.03475e-06,2.4432e-07,9.40668e-07,2.1034e-07,1.25175e-05,8.40643e-07
26.5,9.95476e-07,2.28111e-07,9.20931e-07,2.06433e-07,0,0,1.01406e-06,2.07209e-07,1.18479e-06,2.30857e-07,7.73438e-07,2.1623e-07,1.15767e-06,2.36266e-07,1.27792e-06,2.20902e-07,9.62321e-07,2.40121e-07,8.7954e-07,2.37656e-07,1.30379e-06,2.48017e-07,1.18106e-06,2.18866e-07,1.27133e-05,8.20808e-07
27.5,1.14954e-06,2.35234e-07,1.3814e-06,2.33852e-07,0,0,7.34675e-07,1.92753e-07,1.35035e-06,2.28994e-07,8.83183e-07,2.27853e-07,9.51742e-07,2.24638e-07,9.93363e-07,2.11303e-07,9.468e-07,2.38611e-07,9.67494e-07,2.45031e-07,1.23136e-06,2.43882e-07,1.31171e-06,2.19178e-07,1.29839e-05,8.24697e-07
28.5,1.20879e-06,2.32229e-07,1.17962e-06,2.16558e-07,0,0,1.37622e-06,2.21568e-07,1.21066e-06,2.21689e-07,6.89823e-07,2.11505e-07,1.37474e-06,2.37638e-07,8.58845e-07,1.95237e-07,8.84714e-07,2.2187e-07,1.3814e-06,2.56767e-07,1.21066e-06,2.35733e-07,9.19764e-07,1.92297e-07,1.33869e-05,8.05581e-07
29.5,7.52533e-07,2.02074e-07,1.17962e-06,2.12817e-07,0,0,7.86413e-07,1.89955e-07,1.20031e-06,2.18159e-07,1.14448e-06,2.28452e-07,9.4061e-07,2.0758e-07,1.19514e-06,2.08818e-07,1.33483e-06,2.32647e-07,6.93285e-07,2.14945e-07,8.64019e-07,2.1662e-07,1.13403e-06,1.99888e-07,1.22872e-05,7.69828e-07
30.5,8.11787e-07,1.90446e-07,8.69193e-07,1.951e-07,0,0,1.10201e-06,2.04151e-07,9.8819e-07,2.03626e-07,7.73438e-07,2.1047e-07,9.46176e-07,2.09733e-07,6.51895e-07,1.74226e-07,6.93285e-07,1.99442e-07,1.01923e-06,2.3613e-07,8.64019e-07,2.10986e-07,1.10267e-06,2.00297e-07,1.07211e-05,7.38215e-07
31.5,8.59191e-07,2.03114e-07,1.10719e-06,2.00112e-07,0,0,9.77842e-07,1.97757e-07,1.21584e-06,2.10478e-07,6.48016e-07,1.91728e-07,1.19107e-06,2.1742e-07,1.11753e-06,1.9796e-07,9.05409e-07,2.16125e-07,8.3815e-07,2.16928e-07,1.10201e-06,2.19321e-07,7.05501e-07,1.68126e-07,1.16423e-05,7.38664e-07
32.5,8.4734e-07,1.92646e-07,1.08649e-06,2.00379e-07,0,0,8.22629e-07,1.78551e-07,6.51895e-07,1.85391e-07,1.20719e-06,2.24107e-07,1.05749e-06,2.12667e-07,4.96682e-07,1.6475e-07,1.01923e-06,2.09074e-07,9.05409e-07,2.17975e-07,1.01923e-06,2.18465e-07,1.10267e-06,1.96164e-07,1.11414e-05,7.27061e-07
33.5,1.05473e-06,2.15445e-07,6.67416e-07,1.66929e-07,0,0,7.29501e-07,1.68366e-07,9.51973e-07,2.02108e-07,5.74853e-07,1.86237e-07,6.90152e-07,1.77407e-07,8.53672e-07,1.80341e-07,7.19154e-07,1.86615e-07,9.57147e-07,2.19199e-07,1.0451e-06,2.10668e-07,8.1002e-07,1.73718e-07,9.8574e-06,6.88728e-07
34.5,8.88818e-07,1.92007e-07,5.8981e-07,1.63281e-07,0,0,7.91586e-07,1.6741e-07,1.02441e-06,1.97147e-07,6.06208e-07,1.87988e-07,8.18164e-07,1.93044e-07,9.10583e-07,1.79523e-07,9.00235e-07,1.9877e-07,4.3977e-07,1.81819e-07,8.53672e-07,2.01379e-07,8.57053e-07,1.77682e-07,9.45435e-06,6.72163e-07
35.5,9.00669e-07,1.9455e-07,8.89888e-07,1.75298e-07,0,0,9.41626e-07,1.83505e-07,6.93285e-07,1.75908e-07,7.99568e-07,1.85281e-07,8.18164e-07,1.93044e-07,7.34675e-07,1.6097e-07,8.84714e-07,1.84305e-07,7.34675e-07,1.94825e-07,8.3815e-07,2.0356e-07,1.05041e-06,1.86164e-07,1.01223e-05,6.70781e-07
36.5,6.81427e-07,1.84071e-07,8.74367e-07,1.80044e-07,0,0,7.1398e-07,1.63772e-07,9.72668e-07,1.91639e-07,7.94342e-07,1.85355e-07,7.95901e-07,1.86016e-07,7.39849e-07,1.68207e-07,7.70891e-07,1.85896e-07,6.88111e-07,1.9129e-07,7.03632e-07,1.91079e-07,9.35442e-07,1.81107e-07,9.47162e-06,6.61649e-07
37.5,8.94743e-07,1.86346e-07,8.48498e-07,1.84813e-07,0,0,8.17455e-07,1.74072e-07,8.32977e-07,1.8503e-07,7.68212e-07,1.81258e-07,8.6269e-07,1.92401e-07,1.03475e-06,1.88683e-07,6.57068e-07,1.69475e-07,9.62321e-07,2.11682e-07,4.13901e-07,1.66045e-07,9.40668e-07,1.81032e-07,9.84013e-06,6.66044e-07
38.5,9.83625e-07,1.93282e-07,7.91586e-07,1.7214e-07,0,0,6.98459e-07,1.59046e-07,1.05545e-06,1.96739e-07,9.14539e-07,1.94486e-07,7.06849e-07,1.79748e-07,7.1398e-07,1.66206e-07,6.10505e-07,1.70185e-07,7.9676e-07,1.91918e-07,1.39692e-06,2.26703e-07,8.62279e-07,1.7293e-07,1.03929e-05,6.68875e-07
39.5,9.65849e-07,1.96257e-07,7.29501e-07,1.75375e-07,0,0,3.31121e-07,1.32513e-07,7.39849e-07,1.65803e-07,4.12849e-07,1.57733e-07,6.45626e-07,1.70097e-07,8.53672e-07,1.68842e-07,9.00236e-07,1.88399e-07,8.27803e-07,1.95648e-07,7.19154e-07,1.8445e-07,7.36857e-07,1.67638e-07,8.55037e-06,6.27973e-07
40.5,5.8662e-07,1.67702e-07,8.07108e-07,1.74226e-07,0,0,6.93285e-07,1.5913e-07,7.9676e-07,1.78926e-07,7.31631e-07,1.7722e-07,5.34311e-07,1.60733e-07,9.05409e-07,1.7276e-07,6.00157e-07,1.60637e-07,1.13305e-06,2.07661e-07,5.32898e-07,1.66608e-07,8.20472e-07,1.68774e-07,8.91887e-06,6.26281e-07
41.5,6.69576e-07,1.69368e-07,6.05331e-07,1.55471e-07,0,0,7.39849e-07,1.63363e-07,6.93285e-07,1.66528e-07,5.17368e-07,1.66165e-07,5.2318e-07,1.60926e-07,5.48419e-07,1.51194e-07,6.20852e-07,1.57779e-07,7.76065e-07,1.79225e-07,7.24327e-07,1.84378e-07,5.80079e-07,1.43974e-07,7.64064e-06,5.93168e-07
42.5,7.64383e-07,1.79826e-07,6.312e-07,1.60136e-07,0,0,7.34675e-07,1.6097e-07,6.62242e-07,1.64588e-07,4.38979e-07,1.573e-07,7.23546e-07,1.8206e-07,8.17455e-07,1.64588e-07,8.27803e-07,1.71594e-07,8.07108e-07,1.83213e-07,1.07097e-06,2.02571e-07,8.1002e-07,1.64014e-07,9.04554e-06,6.2331e-07
43.5,5.51067e-07,1.6195e-07,7.86413e-07,1.67489e-07,0,0,7.39849e-07,1.58371e-07,6.46721e-07,1.59885e-07,7.47309e-07,1.76989e-07,7.45809e-07,1.79144e-07,7.86413e-07,1.67489e-07,5.43246e-07,1.51283e-07,7.1398e-07,1.68604e-07,8.64019e-07,1.86758e-07,6.58468e-07,1.5361e-07,8.51007e-06,6.03941e-07
44.5,7.99936e-07,1.76276e-07,6.82937e-07,1.61799e-07,0,0,5.63941e-07,1.42725e-07,4.96682e-07,1.49414e-07,5.64401e-07,1.60394e-07,5.2318e-07,1.63788e-07,6.41547e-07,1.52253e-07,8.53672e-07,1.73533e-07,4.65639e-07,1.4995e-07,7.45022e-07,1.77423e-07,6.74146e-07,1.50648e-07,7.63488e-06,5.78769e-07
45.5,4.97738e-07,1.52918e-07,5.17377e-07,1.43566e-07,0,0,7.19154e-07,1.56159e-07,4.75987e-07,1.47066e-07,4.38979e-07,1.49283e-07,8.73821e-07,1.82315e-07,5.58767e-07,1.48335e-07,1.01406e-06,1.8683e-07,7.24327e-07,1.66045e-07,6.41547e-07,1.69712e-07,5.06916e-07,1.39543e-07,7.60609e-06,5.75466e-07
46.5,6.28098e-07,1.5722e-07,7.24327e-07,1.56073e-07,0,0,6.77764e-07,1.54262e-07,3.88033e-07,1.34418e-07,8.57053e-07,1.84469e-07,4.28562e-07,1.47571e-07,4.50118e-07,1.41973e-07,8.07108e-07,1.71906e-07,7.1398e-07,1.70969e-07,1.02441e-06,1.99173e-07,6.89823e-07,1.50376e-07,8.08399e-06,5.8679e-07
47.5,8.76967e-07,1.83785e-07,5.43246e-07,1.51283e-07,0,0,6.93285e-07,1.56587e-07,6.41547e-07,1.57439e-07,5.12142e-07,1.61244e-07,6.95718e-07,1.6083e-07,6.36373e-07,1.52341e-07,7.03632e-07,1.58962e-07,7.08806e-07,1.63854e-07,8.17455e-07,1.8086e-07,7.00275e-07,1.55554e-07,8.18763e-06,5.86281e-07
48.5,7.52533e-07,1.77071e-07,6.57068e-07,1.54608e-07,0,0,5.94983e-07,1.47702e-07,5.48419e-07,1.48515e-07,3.65815e-07,1.50558e-07,1.00183e-06,1.87921e-07,5.89809e-07,1.47792e-07,1.02958e-06,1.90869e-07,6.36373e-07,1.57524e-07,6.93285e-07,1.66528e-07,8.30924e-07,1.66165e-07,8.37188e-06,5.91293e-07
49.5,5.51067e-07,1.51881e-07,3.31121e-07,1.29448e-07,0,0,7.60544e-07,1.6548e-07,5.12203e-07,1.46428e-07,3.3446e-07,1.36876e-07,6.34494e-07,1.67528e-07,8.74367e-07,1.68525e-07,4.65639e-07,1.4995e-07,6.57068e-07,1.59718e-07,3.88033e-07,1.40265e-07,6.58468e-07,1.48181e-07,6.72514e-06,5.4902e-07
50.5,6.45874e-07,1.66652e-07,6.62242e-07,1.57099e-07,0,0,5.53593e-07,1.45695e-07,3.5699e-07,1.25777e-07,6.4279e-07,1.59112e-07,4.84219e-07,1.49655e-07,4.3977e-07,1.44958e-07,4.65639e-07,1.35904e-07,4.24249e-07,1.42443e-07,7.03632e-07,1.78026e-07,5.17368e-07,1.39347e-07,6.41997e-06,5.42429e-07
51.5,5.09589e-07,1.52688e-07,4.75987e-07,1.4431e-07,0,0,4.65639e-07,1.32916e-07,6.82937e-07,1.59298e-07,5.48723e-07,1.6065e-07,8.40427e-07,1.77668e-07,5.48419e-07,1.45786e-07,4.24249e-07,1.39596e-07,5.17377e-07,1.49055e-07,6.67416e-07,1.71672e-07,9.35442e-07,1.74189e-07,7.2088e-06,5.63503e-07
52.5,6.518e-07,1.60097e-07,8.32977e-07,1.69159e-07,0,0,6.15678e-07,1.47339e-07,6.05331e-07,1.52867e-07,6.32338e-07,1.66821e-07,7.12415e-07,1.63409e-07,5.53593e-07,1.45695e-07,2.06951e-07,1.04761e-07,4.60465e-07,1.44588e-07,4.86334e-07,1.6246e-07,7.62986e-07,1.57126e-07,7.09364e-06,5.53411e-07
53.5,3.79229e-07,1.37184e-07,9.10583e-07,1.74993e-07,0,0,5.38072e-07,1.43193e-07,4.75987e-07,1.38634e-07,3.97171e-07,1.41583e-07,3.33944e-07,1.3288e-07,7.19154e-07,1.56159e-07,3.9838e-07,1.34219e-07,6.05331e-07,1.55471e-07,9.31278e-07,1.90096e-07,6.27112e-07,1.45952e-07,6.93818e-06,5.48809e-07
54.5,3.67378e-07,1.3744e-07,5.79462e-07,1.47973e-07,0,0,4.19075e-07,1.27678e-07,5.84636e-07,1.53217e-07,3.97171e-07,1.3866e-07,9.4061e-07,1.81293e-07,3.5699e-07,1.22543e-07,7.24327e-07,1.58625e-07,4.75987e-07,1.4431e-07,4.91508e-07,1.62377e-07,7.15953e-07,1.57906e-07,6.59847e-06,5.39641e-07
55.5,7.70309e-07,1.70711e-07,6.15678e-07,1.47339e-07,0,0,4.19075e-07,1.3382e-07,3.5699e-07,1.32007e-07,1.98586e-07,1.20537e-07,7.34678e-07,1.65855e-07,5.01855e-07,1.43846e-07,5.38072e-07,1.40361e-07,6.62242e-07,1.59634e-07,5.43246e-07,1.61551e-07,5.22593e-07,1.39249e-07,6.35088e-06,5.31688e-07
56.5,8.4734e-07,1.81381e-07,5.48419e-07,1.53827e-07,0,0,6.57068e-07,1.49324e-07,7.34675e-07,1.58456e-07,5.90531e-07,1.52092e-07,3.0055e-07,1.33578e-07,6.77764e-07,1.51636e-07,5.27724e-07,1.46153e-07,6.51895e-07,1.6475e-07,5.58767e-07,1.61302e-07,6.95049e-07,1.47534e-07,7.39881e-06,5.59873e-07
57.5,3.73304e-07,1.41095e-07,7.76065e-07,1.62789e-07,0,0,3.72511e-07,1.28618e-07,3.46642e-07,1.35213e-07,3.0833e-07,1.18134e-07,5.84403e-07,1.5693e-07,6.7259e-07,1.56928e-07,5.58767e-07,1.48335e-07,1.75908e-07,1.16381e-07,5.53593e-07,1.61385e-07,4.70334e-07,1.40227e-07,5.67146e-06,5.18364e-07
58.5,2.84422e-07,1.35381e-07,3.36295e-07,1.26202e-07,0,0,3.88033e-07,1.31397e-07,2.84557e-07,1.24063e-07,2.19489e-07,1.20083e-07,5.51008e-07,1.60444e-07,5.58767e-07,1.42818e-07,2.79383e-07,1.27363e-07,7.50196e-07,1.77348e-07,7.81239e-07,1.7461e-07,8.62279e-07,1.70545e-07,5.79813e-06,5.29062e-07
59.5,4.44409e-07,1.46946e-07,6.62242e-07,1.59634e-07,0,0,4.19075e-07,1.36787e-07,6.15678e-07,1.52692e-07,5.33045e-07,1.50376e-07,4.34128e-07,1.50584e-07,5.69114e-07,1.48154e-07,4.03554e-07,1.39979e-07,3.41469e-07,1.41122e-07,8.53672e-07,1.75832e-07,2.76975e-07,1.25531e-07,6.07451e-06,5.37825e-07
60.5,3.85154e-07,1.44537e-07,6.46721e-07,1.54781e-07,0,0,7.81239e-07,1.65156e-07,5.17377e-07,1.43566e-07,6.1666e-07,1.51642e-07,4.61956e-07,1.4694e-07,2.79383e-07,1.2417e-07,6.51895e-07,1.6717e-07,2.94905e-07,1.41973e-07,6.98459e-07,1.66447e-07,6.6892e-07,1.53433e-07,6.57544e-06,5.48899e-07
