Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
11.875,8.13244e-08,9.42519e-08,0,0,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
12.125,1.62649e-07,1.33292e-07,1.81416e-07,1.32851e-07,9.38358e-08,9.38358e-08,4.379e-07,2.10289e-07
12.375,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08,-6.25572e-09,6.25572e-09,6.25572e-08,9.48727e-08
12.625,9.38358e-08,9.38358e-08,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
12.875,-1.25114e-08,8.84692e-09,-1.87672e-08,1.08352e-08,-1.25114e-08,8.84692e-09,-4.379e-08,1.65511e-08
13.125,7.50686e-08,9.44593e-08,9.38358e-08,9.38358e-08,-6.25572e-09,6.25572e-09,1.62649e-07,1.33292e-07
13.375,0,0,1.87672e-07,1.32704e-07,-6.25572e-09,6.25572e-09,1.81416e-07,1.32851e-07
13.625,9.38358e-08,9.38358e-08,0,0,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08
13.875,6.88129e-08,9.46662e-08,-2.50229e-08,1.25114e-08,8.75801e-08,9.40441e-08,1.3137e-07,1.34024e-07
14.125,0,0,8.75801e-08,9.40441e-08,-1.25114e-08,8.84692e-09,7.50686e-08,9.44593e-08
14.375,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08,0,0,8.13244e-08,9.42519e-08
14.625,7.50686e-08,9.44593e-08,2.50229e-07,1.63129e-07,0,0,3.25297e-07,1.88504e-07
14.875,9.38358e-08,9.38358e-08,7.50686e-08,9.44593e-08,9.38358e-08,9.38358e-08,2.6274e-07,1.62889e-07
15.125,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08,9.38358e-08,9.38358e-08,1.7516e-07,1.32998e-07
15.375,1.81416e-07,1.32851e-07,8.75801e-08,9.40441e-08,-6.25572e-09,6.25572e-09,2.6274e-07,1.62889e-07
15.625,0,0,-6.25572e-09,6.25572e-09,0,0,-6.25572e-09,6.25572e-09
15.875,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
16.125,0,0,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09
16.375,-1.25114e-08,8.84692e-09,8.13244e-08,9.42519e-08,-1.25114e-08,8.84692e-09,5.63015e-08,9.50787e-08
16.625,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
16.875,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
17.125,0,0,9.38358e-08,9.38358e-08,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08
17.375,0,0,-6.25572e-09,6.25572e-09,9.38358e-08,9.38358e-08,8.75801e-08,9.40441e-08
17.625,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
17.875,0,0,-6.25572e-09,6.25572e-09,8.13244e-08,9.42519e-08,7.50686e-08,9.44593e-08
18.125,8.75801e-08,9.40441e-08,1.87672e-07,1.32704e-07,-6.25572e-09,6.25572e-09,2.68996e-07,1.62769e-07
18.375,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,0,0,-1.25114e-08,8.84692e-09
18.625,9.38358e-08,9.38358e-08,-1.25114e-08,8.84692e-09,-1.25114e-08,8.84692e-09,6.88129e-08,9.46662e-08
18.875,0,0,8.13244e-08,9.42519e-08,-1.25114e-08,8.84692e-09,6.88129e-08,9.46662e-08
19.125,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,0,0,-1.25114e-08,8.84692e-09
19.375,0,0,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,-1.87672e-08,1.08352e-08
19.625,8.75801e-08,9.40441e-08,0,0,-6.25572e-09,6.25572e-09,8.13244e-08,9.42519e-08
19.875,-1.87672e-08,1.08352e-08,0,0,-1.87672e-08,1.08352e-08,-3.75343e-08,1.53233e-08
sum,3.61143e-05,2.37179e-06,2.91454e-05,2.40452e-06,2.69309e-05,1.82615e-06,9.21905e-05,3.83952e-06
ep,1.06569e+07,3264.49,1.06569e+07,3264.49,1.06569e+07,3264.49
