Bin Center (us),n/ep,err
8.2,0.00203381,7.25343e-06
8.24,0.00199262,7.17962e-06
8.28,0.00199035,7.17551e-06
8.32,0.00194143,7.08679e-06
8.36,0.00193225,7.07001e-06
8.4,0.00188514,6.98329e-06
8.44,0.00186993,6.95506e-06
8.48,0.00184553,6.90955e-06
8.52,0.00181219,6.84684e-06
8.56,0.00179858,6.82109e-06
8.6,0.00176679,6.76053e-06
8.64,0.00175538,6.73867e-06
8.68,0.00171875,6.66799e-06
8.72,0.00170683,6.64482e-06
8.76,0.00168644,6.60502e-06
8.8,0.00164968,6.53264e-06
8.84,0.00163056,6.49468e-06
8.88,0.00161766,6.46892e-06
8.92,0.00160224,6.43801e-06
8.96,0.00156377,6.36026e-06
9,0.00155448,6.34135e-06
9.04,0.00152629,6.28357e-06
9.08,0.00149059,6.20965e-06
9.12,0.00149028,6.20901e-06
9.16,0.00146099,6.1477e-06
9.2,0.0014402,6.10378e-06
9.24,0.00142498,6.07147e-06
9.28,0.00140302,6.0245e-06
9.32,0.00139511,6.00748e-06
9.36,0.00136957,5.95225e-06
9.4,0.00136349,5.93903e-06
9.44,0.00132037,5.84435e-06
9.48,0.00131856,5.84034e-06
9.52,0.00130425,5.80858e-06
9.56,0.00128749,5.77113e-06
9.6,0.00127564,5.74451e-06
9.64,0.00124326,5.67112e-06
9.68,0.0012416,5.66734e-06
9.72,0.0012171,5.61115e-06
9.76,0.00119977,5.57106e-06
9.8,0.00118803,5.54372e-06
9.84,0.00115698,5.47082e-06
9.88,0.00115106,5.45679e-06
9.92,0.00114847,5.45066e-06
9.96,0.00111771,5.37717e-06
