Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
11.875,1.62649e-07,1.33292e-07,1.81416e-07,1.32851e-07,9.38358e-08,9.38358e-08,4.379e-07,2.10289e-07
12.125,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08,-6.25572e-09,6.25572e-09,6.25572e-08,9.48727e-08
12.375,9.38358e-08,9.38358e-08,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
12.625,-1.25114e-08,8.84692e-09,-1.87672e-08,1.08352e-08,-1.25114e-08,8.84692e-09,-4.379e-08,1.65511e-08
12.875,7.50686e-08,9.44593e-08,9.38358e-08,9.38358e-08,-6.25572e-09,6.25572e-09,1.62649e-07,1.33292e-07
13.125,0,0,1.87672e-07,1.32704e-07,-6.25572e-09,6.25572e-09,1.81416e-07,1.32851e-07
13.375,9.38358e-08,9.38358e-08,0,0,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08
13.625,6.88129e-08,9.46662e-08,-2.50229e-08,1.25114e-08,8.75801e-08,9.40441e-08,1.3137e-07,1.34024e-07
13.875,0,0,8.75801e-08,9.40441e-08,-1.25114e-08,8.84692e-09,7.50686e-08,9.44593e-08
14.125,-6.25572e-09,6.25572e-09,8.13244e-08,9.42519e-08,0,0,7.50686e-08,9.44593e-08
14.375,7.50686e-08,9.44593e-08,2.50229e-07,1.63129e-07,0,0,3.25297e-07,1.88504e-07
14.625,8.75801e-08,9.40441e-08,8.13244e-08,9.42519e-08,9.38358e-08,9.38358e-08,2.6274e-07,1.62889e-07
14.875,0,0,8.75801e-08,9.40441e-08,8.75801e-08,9.40441e-08,1.7516e-07,1.32998e-07
15.125,1.81416e-07,1.32851e-07,8.13244e-08,9.42519e-08,0,0,2.6274e-07,1.62889e-07
15.375,0,0,0,0,0,0,0,0
15.625,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
15.875,0,0,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09,-1.87672e-08,1.08352e-08
16.125,-1.25114e-08,8.84692e-09,8.13244e-08,9.42519e-08,-6.25572e-09,6.25572e-09,6.25572e-08,9.48727e-08
16.375,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
16.625,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
16.875,0,0,9.38358e-08,9.38358e-08,8.75801e-08,9.40441e-08,1.81416e-07,1.32851e-07
17.125,0,0,-6.25572e-09,6.25572e-09,0,0,-6.25572e-09,6.25572e-09
17.375,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-1.87672e-08,1.08352e-08
17.625,-6.25572e-09,6.25572e-09,9.38358e-08,9.38358e-08,8.75801e-08,9.40441e-08,1.7516e-07,1.32998e-07
