Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.71386e-06,4.06315e-07,2.63862e-06,3.78075e-07,0,0,3.31121e-06,4.04415e-07,3.19221e-06,4.34812e-07,2.20534e-06,4.01684e-07,3.12795e-06,4.093e-07,3.26465e-06,3.71612e-07,1.34001e-06,5.34954e-07,3.89067e-06,4.60378e-07,3.79237e-06,4.2936e-07,2.7802e-06,3.47358e-07,3.52149e-05,1.51906e-06
11.5,3.66193e-06,4.35914e-07,3.06287e-06,3.84672e-07,0,0,3.20774e-06,3.90953e-07,3.63716e-06,4.33085e-07,2.77497e-06,4.03075e-07,3.10568e-06,3.92059e-07,2.17298e-06,3.32895e-07,3.037e-06,5.16678e-07,3.2336e-06,4.34566e-07,3.32673e-06,4.18947e-07,2.75929e-06,3.29358e-07,3.6994e-05,1.48218e-06
12.5,3.80414e-06,4.30075e-07,3.01631e-06,3.78676e-07,0,0,2.8404e-06,3.69155e-07,3.23878e-06,4.15644e-07,2.33077e-06,3.72254e-07,2.46562e-06,3.67381e-07,1.69182e-06,3.06652e-07,3.20774e-06,4.81188e-07,3.2336e-06,4.25226e-07,4.07693e-06,4.35089e-07,2.17399e-06,2.99022e-07,3.49212e-05,1.4205e-06
13.5,3.24122e-06,4.0506e-07,2.64897e-06,3.48145e-07,0,0,2.88179e-06,3.49871e-07,2.46789e-06,3.85541e-07,1.88134e-06,3.52896e-07,2.93315e-06,3.72655e-07,2.33337e-06,3.20565e-07,3.11461e-06,4.38032e-07,2.87144e-06,4.08203e-07,3.10943e-06,3.93649e-07,2.6809e-06,3.16029e-07,3.28311e-05,1.35092e-06
14.5,2.37611e-06,3.60869e-07,2.38511e-06,3.37249e-07,0,0,2.5041e-06,3.29094e-07,1.74873e-06,3.53637e-07,2.14786e-06,3.49747e-07,2.04263e-06,3.3501e-07,1.98673e-06,2.94769e-07,2.98526e-06,4.12379e-07,1.4797e-06,3.556e-07,2.54032e-06,3.71252e-07,2.0956e-06,2.9139e-07,2.64918e-05,1.25303e-06
15.5,2.51239e-06,3.59749e-07,2.00225e-06,3.0926e-07,0,0,2.14711e-06,3.09346e-07,2.12124e-06,3.56577e-07,2.00153e-06,3.4137e-07,2.14281e-06,3.34176e-07,1.9919e-06,2.94723e-07,3.20774e-06,4.02092e-07,2.12124e-06,3.61053e-07,1.94016e-06,3.61239e-07,2.36735e-06,3.00071e-07,2.67566e-05,1.232e-06
16.5,1.81911e-06,3.20906e-07,1.94534e-06,3.00524e-07,0,0,1.97121e-06,2.9354e-07,1.25205e-06,3.23019e-07,1.58868e-06,3.15985e-07,2.29309e-06,3.21563e-07,2.13159e-06,3.0292e-07,2.70071e-06,3.7765e-07,1.27275e-06,3.2779e-07,2.54549e-06,3.51207e-07,2.33077e-06,3.03104e-07,2.38374e-05,1.16814e-06
17.5,2.13909e-06,3.35665e-07,1.8729e-06,2.93038e-07,0,0,1.72286e-06,2.67189e-07,1.32966e-06,3.07088e-07,1.42145e-06,3.01478e-07,1.78104e-06,3.00756e-07,1.80564e-06,2.81055e-07,2.39028e-06,3.53486e-07,1.37105e-06,3.15769e-07,1.93499e-06,3.23764e-07,1.76637e-06,2.66574e-07,2.12637e-05,1.1033e-06
18.5,2.09761e-06,3.28101e-07,1.2417e-06,2.65833e-07,0,0,1.39174e-06,2.53515e-07,1.59352e-06,3.10081e-07,1.46326e-06,2.94235e-07,1.05192e-06,2.75546e-07,1.61422e-06,2.72692e-07,1.697e-06,3.19436e-07,1.70217e-06,3.1176e-07,2.22989e-06,3.32452e-07,1.99108e-06,2.70489e-07,1.96975e-05,1.06713e-06
19.5,1.59987e-06,3.00976e-07,1.28309e-06,2.63913e-07,0,0,1.18997e-06,2.3596e-07,1.32966e-06,2.97795e-07,1.22287e-06,2.80745e-07,1.89792e-06,2.99673e-07,1.53661e-06,2.6447e-07,2.05916e-06,3.26481e-07,9.83016e-07,2.91297e-07,1.48487e-06,2.96444e-07,1.86043e-06,2.64104e-07,1.78953e-05,1.02938e-06
20.5,1.20287e-06,2.6809e-07,1.32448e-06,2.55775e-07,0,0,1.09684e-06,2.33566e-07,1.3814e-06,3.00034e-07,1.00861e-06,2.64775e-07,1.35247e-06,2.72494e-07,1.93499e-06,2.75524e-07,1.28827e-06,2.85777e-07,1.87808e-06,3.14155e-07,1.35035e-06,2.78087e-07,1.26468e-06,2.34178e-07,1.64847e-05,9.86035e-07
21.5,1.25027e-06,2.57536e-07,1.50039e-06,2.52403e-07,0,0,1.59869e-06,2.43277e-07,1.20031e-06,2.73672e-07,8.1002e-07,2.50899e-07,1.86452e-06,2.87324e-07,1.62974e-06,2.58947e-07,1.80564e-06,3.08306e-07,1.92464e-06,3.03361e-07,1.459e-06,2.81388e-07,1.45281e-06,2.42429e-07,1.80105e-05,9.78017e-07
22.5,1.36878e-06,2.58217e-07,1.32448e-06,2.46176e-07,0,0,8.53672e-07,2.18588e-07,1.21584e-06,2.63049e-07,8.88409e-07,2.41752e-07,1.43596e-06,2.69924e-07,1.68147e-06,2.5843e-07,1.59352e-06,2.87226e-07,1.1641e-06,2.72545e-07,1.40209e-06,2.77605e-07,1.32739e-06,2.35225e-07,1.55346e-05,9.33443e-07
23.5,7.76234e-07,2.21631e-07,1.44348e-06,2.43277e-07,0,0,9.93363e-07,2.18771e-07,1.32966e-06,2.57288e-07,9.19764e-07,2.41413e-07,1.19663e-06,2.49218e-07,1.42279e-06,2.43497e-07,1.28827e-06,2.6988e-07,9.88189e-07,2.56036e-07,1.58835e-06,2.71463e-07,1.49984e-06,2.35051e-07,1.47343e-05,8.95171e-07
24.5,1.01918e-06,2.30103e-07,1.05027e-06,2.18097e-07,0,0,1.05027e-06,2.19931e-07,8.64019e-07,2.23911e-07,9.14539e-07,2.39767e-07,7.84769e-07,2.28738e-07,1.50039e-06,2.42671e-07,9.31278e-07,2.48664e-07,1.27792e-06,2.66988e-07,1.16927e-06,2.49416e-07,1.30126e-06,2.30238e-07,1.29724e-05,8.57839e-07
25.5,1.17917e-06,2.32607e-07,9.62321e-07,2.07854e-07,0,0,1.05027e-06,2.0869e-07,1.09166e-06,2.33623e-07,1.05564e-06,2.38225e-07,1.05192e-06,2.31564e-07,9.31278e-07,2.00379e-07,1.21584e-06,2.52138e-07,1.30379e-06,2.6371e-07,9.67495e-07,2.38387e-07,9.04087e-07,2.04881e-07,1.27651e-05,8.29667e-07
26.5,1.2562e-06,2.49151e-07,9.83016e-07,2.1332e-07,0,0,8.58845e-07,1.99308e-07,1.49522e-06,2.39395e-07,8.20472e-07,2.28571e-07,1.11871e-06,2.34753e-07,1.11753e-06,2.15443e-07,1.03993e-06,2.44265e-07,9.51973e-07,2.46827e-07,1.25723e-06,2.4525e-07,1.21242e-06,2.20359e-07,1.31912e-05,8.35361e-07
27.5,1.08436e-06,2.26953e-07,1.33483e-06,2.25638e-07,0,0,1.00371e-06,2.05393e-07,1.00888e-06,2.13006e-07,8.98861e-07,2.25867e-07,1.19663e-06,2.27788e-07,9.62321e-07,2.03954e-07,6.10505e-07,2.14071e-07,1.08132e-06,2.42174e-07,1.42279e-06,2.48395e-07,1.05564e-06,2.0091e-07,1.27075e-05,8.02448e-07
28.5,9.53998e-07,2.06882e-07,1.10719e-06,2.07983e-07,0,0,1.20031e-06,2.10668e-07,1.07614e-06,2.12188e-07,6.4279e-07,2.00161e-07,9.46176e-07,2.14118e-07,9.93363e-07,1.99576e-07,1.15892e-06,2.32877e-07,1.19514e-06,2.47531e-07,8.84714e-07,2.16372e-07,1.32739e-06,2.11376e-07,1.25521e-05,7.79117e-07
