Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,2.22078e-06,4.89587e-07,9.63381e-07,3.67227e-07,3.14037e-06,5.72595e-07,6.32453e-06,8.38103e-07
0.625,2.67745e-06,5.32729e-07,2.69622e-06,5.41364e-07,2.27708e-06,4.89228e-07,7.65074e-06,9.03448e-07
0.875,2.25831e-06,4.79655e-07,1.65777e-06,4.32279e-07,2.38968e-06,4.88507e-07,6.30577e-06,8.09675e-07
1.125,3.13412e-06,5.64368e-07,1.88297e-06,4.72255e-07,1.70781e-06,4.20903e-07,6.7249e-06,8.4776e-07
1.375,1.56393e-06,4.43671e-07,1.57019e-06,4.74322e-07,1.6953e-06,4.20996e-07,4.82942e-06,7.73992e-07
1.625,1.54516e-06,5.03304e-07,2.4585e-06,6.23284e-07,1.78288e-06,4.62881e-07,5.78654e-06,9.25233e-07
1.875,1.93302e-06,5.00887e-07,1.97681e-06,5.45504e-07,1.08224e-06,3.9102e-07,4.99206e-06,8.37472e-07
2.125,1.23238e-06,3.64929e-07,1.28242e-06,3.77163e-07,8.44522e-07,2.97722e-07,3.35932e-06,6.03377e-07
2.375,9.57125e-07,3.26678e-07,9.63381e-07,3.26618e-07,5.31736e-07,2.30275e-07,2.45224e-06,5.16163e-07
2.625,5.31736e-07,2.49837e-07,6.1306e-07,2.84068e-07,5.12969e-07,2.3053e-07,1.65777e-06,4.43009e-07
2.875,4.8169e-07,2.50463e-07,9.63381e-07,3.26618e-07,5.19225e-07,2.30445e-07,1.9643e-06,4.71716e-07
3.125,9.69637e-07,3.26558e-07,5.44248e-07,2.6783e-07,5.88038e-07,2.49132e-07,2.10192e-06,4.90346e-07
3.375,9.82148e-07,3.26438e-07,5.88038e-07,2.67318e-07,8.82056e-07,2.97328e-07,2.45224e-06,5.16163e-07
3.625,8.75801e-07,3.12786e-07,4.69179e-07,2.50619e-07,3.25297e-07,1.88504e-07,1.67028e-06,4.42921e-07
3.875,2.94019e-07,2.12418e-07,6.81873e-07,2.83309e-07,9.50869e-07,3.12034e-07,1.92676e-06,4.71965e-07
4.125,7.94476e-07,3.13598e-07,8.50778e-07,3.27695e-07,6.69362e-07,2.66364e-07,2.31462e-06,5.26001e-07
4.375,8.44522e-07,3.27754e-07,1.02594e-06,3.66694e-07,2.12694e-07,1.63847e-07,2.08315e-06,5.18395e-07
4.625,5.88038e-07,2.84343e-07,1.20735e-06,3.90018e-07,8.38266e-07,2.97788e-07,2.63366e-06,5.67135e-07
4.875,8.82056e-07,3.67919e-07,3.87855e-07,3.17628e-07,4.69179e-07,2.31123e-07,1.73909e-06,5.3821e-07
5.125,6.31828e-07,3.82521e-07,9.13335e-07,4.37632e-07,5.56759e-07,2.84687e-07,2.10192e-06,6.47218e-07
5.375,9.82148e-07,5.33866e-07,1.02594e-06,5.67722e-07,4.19133e-07,2.86195e-07,2.42722e-06,8.30198e-07
5.625,1.77662e-06,7.04317e-07,1.06347e-06,7.58724e-07,8.63289e-07,4.15994e-07,3.70339e-06,1.11569e-06
5.875,9.94659e-07,7.07781e-07,3.12782e-08,7.37936e-07,1.56393e-07,3.61264e-07,1.18233e-06,1.08444e-06
6.125,9.50869e-07,6.38206e-07,-3.62832e-07,6.22373e-07,1.12603e-07,3.34666e-07,7.0064e-07,9.52185e-07
6.375,1.01968e-06,5.24772e-07,-5.56759e-07,4.48016e-07,-3.12786e-08,2.17155e-07,4.31645e-07,7.23368e-07
6.625,8.06988e-07,3.81086e-07,4.62923e-07,3.83899e-07,3.12786e-07,2.52564e-07,1.5827e-06,5.96987e-07
6.875,1.87672e-07,1.90774e-07,2.87763e-07,2.52873e-07,6.44339e-07,2.66658e-07,1.11977e-06,4.14061e-07
7.125,1.68904e-07,1.33145e-07,6.25572e-08,9.48727e-08,7.19408e-07,2.65776e-07,9.50869e-07,3.12034e-07
7.375,4.25389e-07,2.10475e-07,1.81416e-07,1.32851e-07,1.7516e-07,1.32998e-07,7.81965e-07,2.82202e-07
7.625,2.75252e-07,1.62649e-07,1.81416e-07,1.32851e-07,8.13244e-08,9.42519e-08,5.37992e-07,2.3019e-07
7.875,8.13244e-08,9.42519e-08,3.37809e-07,1.88296e-07,1.68904e-07,1.33145e-07,5.88038e-07,2.49132e-07
8.125,1.81416e-07,1.32851e-07,6.88129e-08,9.46662e-08,1.87672e-07,1.32704e-07,4.379e-07,2.10289e-07
8.375,1.7516e-07,1.32998e-07,1.62649e-07,1.33292e-07,1.56393e-07,1.33439e-07,4.94202e-07,2.30784e-07
8.625,1.81416e-07,1.32851e-07,1.62649e-07,1.33292e-07,-1.25114e-08,8.84692e-09,3.31553e-07,1.884e-07
8.875,3.62832e-07,1.8788e-07,7.50686e-08,9.44593e-08,6.88129e-08,9.46662e-08,5.06713e-07,2.30615e-07
9.125,1.81416e-07,1.32851e-07,6.88129e-08,9.46662e-08,7.50686e-08,9.44593e-08,3.25297e-07,1.88504e-07
9.375,8.75801e-08,9.40441e-08,6.88129e-08,9.46662e-08,8.13244e-08,9.42519e-08,2.37717e-07,1.63369e-07
9.625,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09,1.7516e-07,1.32998e-07,1.56393e-07,1.33439e-07
9.875,1.7516e-07,1.32998e-07,1.87672e-07,1.32704e-07,-6.25572e-09,6.25572e-09,3.56576e-07,1.87984e-07
10.125,-6.25572e-09,6.25572e-09,1.68904e-07,1.33145e-07,-1.25114e-08,8.84692e-09,1.50137e-07,1.33586e-07
10.375,2.6274e-07,1.62889e-07,-1.25114e-08,8.84692e-09,1.81416e-07,1.32851e-07,4.31645e-07,2.10382e-07
10.625,1.7516e-07,1.32998e-07,0,0,-1.25114e-08,8.84692e-09,1.62649e-07,1.33292e-07
10.875,8.75801e-08,9.40441e-08,1.81416e-07,1.32851e-07,-6.25572e-09,6.25572e-09,2.6274e-07,1.62889e-07
11.125,9.38358e-08,9.38358e-08,8.75801e-08,9.40441e-08,-1.25114e-08,8.84692e-09,1.68904e-07,1.33145e-07
11.375,0,0,-1.25114e-08,8.84692e-09,8.75801e-08,9.40441e-08,7.50686e-08,9.44593e-08
11.625,-6.25572e-09,6.25572e-09,0,0,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09
11.875,7.50686e-08,9.44593e-08,1.81416e-07,1.32851e-07,9.38358e-08,9.38358e-08,3.5032e-07,1.88088e-07
12.125,1.7516e-07,1.32998e-07,8.75801e-08,9.40441e-08,0,0,2.6274e-07,1.62889e-07
12.375,8.75801e-08,9.40441e-08,-2.50229e-08,1.25114e-08,-1.25114e-08,8.84692e-09,5.00457e-08,9.52843e-08
12.625,0,0,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09
12.875,8.13244e-08,9.42519e-08,8.13244e-08,9.42519e-08,-6.25572e-09,6.25572e-09,1.56393e-07,1.33439e-07
13.125,-1.87672e-08,1.08352e-08,1.87672e-07,1.32704e-07,-1.25114e-08,8.84692e-09,1.56393e-07,1.33439e-07
13.375,0,0,0,0,0,0,0,0
13.625,1.68904e-07,1.33145e-07,-1.87672e-08,1.08352e-08,-1.25114e-08,8.84692e-09,1.37626e-07,1.33878e-07
13.875,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08,8.13244e-08,9.42519e-08,1.62649e-07,1.33292e-07
14.125,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,0,0,-1.25114e-08,8.84692e-09
14.375,8.75801e-08,9.40441e-08,6.88129e-08,9.46662e-08,0,0,1.56393e-07,1.33439e-07
14.625,-1.25114e-08,8.84692e-09,3.56576e-07,1.87984e-07,9.38358e-08,9.38358e-08,4.379e-07,2.10289e-07
14.875,8.75801e-08,9.40441e-08,-1.25114e-08,8.84692e-09,9.38358e-08,9.38358e-08,1.68904e-07,1.33145e-07
15.125,1.81416e-07,1.32851e-07,8.75801e-08,9.40441e-08,-6.25572e-09,6.25572e-09,2.6274e-07,1.62889e-07
15.375,0,0,8.13244e-08,9.42519e-08,0,0,8.13244e-08,9.42519e-08
15.625,0,0,0,0,0,0,0,0
15.875,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-1.87672e-08,1.08352e-08
16.125,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09,-3.12786e-08,1.39882e-08
16.375,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08,0,0,8.13244e-08,9.42519e-08
16.625,0,0,0,0,0,0,0,0
16.875,-6.25572e-09,6.25572e-09,0,0,0,0,-6.25572e-09,6.25572e-09
17.125,0,0,8.75801e-08,9.40441e-08,8.75801e-08,9.40441e-08,1.7516e-07,1.32998e-07
17.375,0,0,0,0,0,0,0,0
17.625,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,-1.25114e-08,8.84692e-09,-2.50229e-08,1.25114e-08
17.875,-6.25572e-09,6.25572e-09,1.87672e-07,1.32704e-07,8.75801e-08,9.40441e-08,2.68996e-07,1.62769e-07
18.125,8.75801e-08,9.40441e-08,0,0,0,0,8.75801e-08,9.40441e-08
18.375,0,0,-1.25114e-08,8.84692e-09,-1.25114e-08,8.84692e-09,-2.50229e-08,1.25114e-08
18.625,9.38358e-08,9.38358e-08,7.50686e-08,9.44593e-08,-1.25114e-08,8.84692e-09,1.56393e-07,1.33439e-07
18.875,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,0,0,-1.25114e-08,8.84692e-09
19.125,0,0,-1.25114e-08,8.84692e-09,0,0,-1.25114e-08,8.84692e-09
19.375,8.75801e-08,9.40441e-08,0,0,-1.25114e-08,8.84692e-09,7.50686e-08,9.44593e-08
19.625,-1.87672e-08,1.08352e-08,0,0,-1.25114e-08,8.84692e-09,-3.12786e-08,1.39882e-08
19.875,9.38358e-08,9.38358e-08,-6.25572e-09,6.25572e-09,-6.25572e-09,6.25572e-09,8.13244e-08,9.42519e-08
sum,3.62081e-05,2.37365e-06,2.91391e-05,2.40452e-06,2.69371e-05,1.82613e-06,9.22844e-05,3.84067e-06
ep,1.06569e+07,3264.49,1.06569e+07,3264.49,1.06569e+07,3264.49
